x,y,rob
0.30007,5.8115,0.93421
0.30001,5.8066,0.92869
0.31823,5.4016,0.97084
0.30001,5.8066,0.93896
0.35148,5.8612,0.94367
0.30542,5.8073,0.92959
0.54281,5.4039,1.0021
0.36778,5.7879,0.94598
0.30155,5.8161,0.93568
0.30422,5.8007,0.93416
0.30192,5.7822,0.94172
0.3027,5.8114,0.93597
0.30213,5.8105,0.9323
0.31753,5.8573,0.93506
0.33424,5.955,0.94764
0.30436,5.8099,0.9345
0.30692,5.8139,0.93642
0.31529,5.8948,0.93063
0.30638,5.9195,0.94395
0.34689,5.9628,0.939
0.48728,5.2403,1.0027
0.3231,5.9252,0.94523
0.31455,5.725,0.94691
0.31258,5.8272,0.95136
0.30939,5.8857,0.92914
0.31177,5.8791,0.92796
0.3093,5.8543,0.94
