x,y,rob
0.30215,5.9993,-0.10483
0.30292,5.9995,-0.103
0.30292,6,-0.10378
0.30292,6,-0.10378
0.30203,5.9983,-0.10415
0.31663,5.9998,0.057921
0.30133,5.9997,-0.10468
0.30111,5.9999,-0.10549
0.3006,5.9996,-0.10519
0.30055,5.9999,-0.10611
0.30032,5.9991,-0.10584
0.30029,5.9992,-0.1059
0.30019,5.9963,0.035049
0.30015,5.9991,0.0035991
0.30053,5.9997,-0.10615
0.55351,5.617,0.2856
0.30053,5.9996,-0.10533
0.3003,5.9996,-0.10663
0.30027,5.9998,-0.10664
0.30017,5.9998,-0.10681
0.51657,5.5334,0.20305
0.36861,5.9992,0.033782
0.30893,5.9446,0.056249
0.506,5.7278,0.27051
0.30002,5.9982,0.003575
0.30015,5.9999,-0.10694
0.30014,5.9999,-0.10687
0.30006,5.9995,-0.10711
0.3001,5.9998,-0.10701
0.30016,5.9999,-0.10692
0.30451,5.6796,0.080841
0.30001,5.9994,-0.1072
0.30001,5.9994,-0.1072
0.36238,5.4957,0.13442
0.30001,5.9993,-0.10638
0.56036,5.5559,0.28131
0.3,5.9992,-0.10639
0.41119,5.1457,0.25015
0.34433,5.7304,0.1321
0.30001,5.9997,-0.10717
0.5302,5.8873,0.26132
0.30001,5.9997,-0.10717
0.3,5.9997,-0.10717
0.3,5.9995,-0.10718
0.30008,5.9996,-0.10707
0.45364,5.1918,0.26695
0.30026,5.9999,-0.10664
0.3003,6,-0.10659
0.30003,5.9904,0.039417
0.3003,6,-0.10659
0.3031,5.9963,0.043698
0.3003,6,-0.10659
0.3003,6,-0.10659
0.30086,5.8246,0.083824
0.35614,5.6961,0.1458
0.31764,5.5258,0.035137
0.30011,5.9993,-0.1062
0.3,5.999,-0.10641
0.30097,5.9991,-0.10494
0.30074,5.9976,-0.10649
0.40029,5.8033,0.18638
0.3765,5.3586,0.17841
0.37842,5.6288,0.15362
0.30004,5.992,0.033908
0.30079,5.9984,-0.1064
0.3005,5.9987,-0.10543
0.42009,5.2644,0.22821
0.30025,5.9871,0.041917
0.30044,5.9987,-0.10559
0.30315,5.9997,-0.10269
